序号,位移响应
785,2.8938346077422974e-07
786,2.995196052298679e-07
787,3.098278095166045e-07
788,3.2026106864468095e-07
789,3.307718302420603e-07
790,3.413122244473805e-07
791,3.518342951224084e-07
792,3.6229023126997146e-07
793,3.7263259754296725e-07
794,3.8281456273574865e-07
795,3.9279012515967936e-07
796,4.0251433382067907e-07
797,4.1194350433774684e-07
798,4.2103542856757846e-07
799,4.297495769317335e-07
800,4.3804729247857325e-07
801,4.4589197575301467e-07
802,4.532492595918871e-07
803,4.6008717301215503e-07
804,4.663762934122299e-07
805,4.7208988636359455e-07
806,4.772040323302025e-07
807,4.816977397165113e-07
808,4.855530437114161e-07
809,4.887550904638792e-07
810,4.91292206197189e-07
811,4.9315595094145e-07
812,4.943411566381721e-07
813,4.948459494461843e-07
814,4.946717561542324e-07
815,4.938232946821935e-07
816,4.923085487292776e-07
817,4.901387267039158e-07
818,4.873282051454377e-07
819,4.838944569221587e-07
820,4.798579645634117e-07
821,4.7524211915437935e-07
822,4.700731052916536e-07
823,4.643797726640929e-07
824,4.581934948875386e-07
825,4.515480162827106e-07
826,4.4447928734311783e-07
827,4.3702528969368007e-07
828,4.292258513907112e-07
829,4.211224534596844e-07
830,4.1275802860888047e-07
831,4.041767530937118e-07
832,3.954238327390385e-07
833,3.8654528415394127e-07
834,3.775877121959721e-07
835,3.6859808475913834e-07
836,3.5962350597196395e-07
837,3.507109888989338e-07
838,3.4190722884021775e-07
839,3.332583783209785e-07
840,3.248098248526118e-07
841,3.166059725343565e-07
842,3.0869002854432644e-07
843,3.011037955449877e-07
844,2.938874709987977e-07
845,2.870794543560025e-07
846,2.8071616303793214e-07
847,2.7483185809630113e-07
848,2.694584803819402e-07
849,2.6462549800520537e-07
850,2.603597658155683e-07
851,2.566853975695579e-07
852,2.5362365139484814e-07
853,2.511928290937878e-07
854,2.494081897629661e-07
855,2.482818781360415e-07
856,2.4782286798611356e-07
857,2.4803692085120494e-07
858,2.4892656027254795e-07
859,2.504910616606513e-07
860,2.5272645782882203e-07
861,2.5562556015845727e-07
862,2.5917799528520526e-07
863,2.633702571204695e-07
864,2.6818577394908537e-07
865,2.736049902716011e-07
866,2.7960546298877227e-07
867,2.861619714571621e-07
868,2.932466408782574e-07
869,3.0082907841951897e-07
870,3.088765214050509e-07
871,3.173539968556271e-07
872,3.262244916037222e-07
873,3.35449132158673e-07
874,3.449873734505414e-07
875,3.5479719553906385e-07
876,3.6483530733608933e-07
877,3.75057356356752e-07
878,3.8541814348596314e-07
